{0,85	0,85	0,85	0,85	0,85	0,5	0,104166	0,066666	0,0375	0,016668	0,009375	0,006	0,004167	0,00306	0,002343	0,0015	0,001041	0,000765}
{0,716165	0,7131042	0,702497	0,678241	0,613733	0,342349	0,11777	0,062676	0,0345	0,015633	0,008923	0,005761	0,00404	0,00289	0,002286	0,001485	0,001029	0,000759}
{0,589008	0,5833782	0,564961	0,524901	0,437182	0,256969	0,116435	0,058216	0,031533	0,014603	0,008474	0,005528	0,003892	0,002893	0,002226	0,001537	0,00102	0,000753}
{0,473944	0,46686	0,439129	0,399232	0,316631	0,197184	0,104901	0,053124	0,02861	0,010021	0,008028	0,00535	0,003676	0,002778	0,002175	0,001457	0,001074	0,000747}
{0,279947	0,273405	0,252397	0,213489	0,152743	0,080376	0,028483	0,001281	-0,003624	-0,00328	-0,00072	-0,00041	-0,00032	-0,000265	-0,00012	-0,00006	-0,000016	0}
{0,29098	0,283872	0,26329	0,226859	0,175617	0,119709	0,075456	0,041877	0,023057	0,011705	0,00713	0,004863	0,003482	0,002605	0,002083	0,00135	0,000951	0,000711}
{0,223525	0,217908	0,200049	0,170986	0,132744	0,093306	0,062269	0,036227	0,02073	0,010543	0,006765	0,00453	0,003369	0,002535	0,002029	0,00132	0,000936	0,000699}
{0,170119	0,165134	0,151252	0,128751	0,10082	0,068897	0,050761	0,030946	0,017977	0,009553	0,006385	0,00442	0,003216	0,002467	0,001972	0,00129	0,000918	0,000687}
{0,128552	0,124204	0,11377	0,097211	0,076858	0,057168	0,041076	0,026178	0,01535	0,008435	0,005935	0,00418	0,003076	0,002392	0,001905	0,00126	0,0009	0,000675}
{0,096574	0,092965	0,085356	0,073136	0,058698	0,044608	0,033013	0,021836	0,012954	0,007765	0,005645	0,00387	0,002931	0,002298	0,001842	0,00123	0,000882	0,000656}
{0,072178	0,06976	0,064005	0,055055	0,04469	0,034779	0,026433	0,018008	0,011391	0,007292	0,005133	0,003737	0,002813	0,002203	0,001768	0,0012	0,000874	0,000657}
{0,039593	0,03769	0,035097	0,030723	0,025572	0,0206	0,016391	0,011932	0,008254	0,00586	0,004371	0,003334	0,002582	0,002048	0,001657	0,00114	0,000835	0,000643}
{0,014749	0,013392	0,013246	0,011793	0,010033	0,008428	0,006995	0,005619	0,004531	0,004173	0,003415	0,002773	0,002222	0,001838	0,001495	0,001056	0,000783	0,000603}
{0,000296	-0,002314	-0,000262	-9,9E-05	-0,000513	3,8E-05	-3,7E-05	0,000269	0,000804	0,001797	0,002068	0,001927	0,001642	0,001462	0,00124	0,000911	0,000702	0,000549}
{-0,003238	-0,005686	-0,003744	-0,003489	-0,003079	-0,003799	-0,002355	-0,001841	-0,001014	0,000386	0,001058	0,001242	0,001221	0,001118	0,001006	0,000789	0,000624	0,000491}
{-0,003818	-0,005076	-0,005036	-0,003805	-0,003629	-0,003374	-0,002953	-0,002539	-0,001759	-0,000425	0,00036	0,000726	0,000854	0,000863	0,000789	0,000659	0,000542	0,00044}
{-0,003159	-0,004092	-0,005126	-0,003788	-0,003078	-0,003113	-0,002938	-0,002582	-0,001906	-0,001124	-0,000407	3,2E-05	0,000258	0,000401	0,000467	0,000459	0,000404	0,00036}
{-0,002353	-0,003153	-0,00368	-0,003199	-0,002988	-0,002528	-0,001778	-0,001252	-0,00172	-0,001235	-0,000728	-0,000307	-5,6E-05	0,000113	0,000188	0,000278	0,00029	0,000259}
{-0,001763	-0,003725	-0,005366	-0,004137	-0,003366	-0,002465	-0,0018755	-0,001413	-0,001427	-0,001157	-0,000764	-0,000483	-0,000224	-6E-05	1E-05	0,000139	0,000204	0,00019}
{-0,001356	-0,00176	-0,002655	-0,002061	-0,001433	-0,001349	-0,001199	-0,00125	-0,001334	-0,001068	-0,000781	-0,000474	-0,000345	-0,000192	-0,000091	0,00007	0,000126	0,000137}
{-0,001068	-0,000807	-0,002109	-0,00145	-0,001274	-0,001174	-0,001184	-0,00117	-0,001287	-0,000933	-0,000687	-0,000575	-0,000415	-0,000246	-0,000134	-4,2E-05	0,000093	0,000079}
{-0,000868	-0,001353	-0,003027	-0,002678	-0,002686	-0,002579	-0,002128	-0,001689	-0,001223	-0,000871	-0,000646	-0,000549	-0,000422	-0,000287	-0,000226	-0,000093	0,000018	0,00003}
{-0,001563	-0,001955	-0,003185	-0,002823	-0,002401	-0,001853	-0,001599	-0,001451	-0,001145	-0,000759	-0,000538	-0,000567	-0,000308	-0,000326	-0,00019	-2,2E-05	-7,5E-05	-6,7E-05}
