1,603E-12	1,437E-12
5,006E-09	5,249E-08
3,208E-07	4,227E-06
3,221E-06	3,968E-05
1,253E-05	1,351E-04
2,858E-05	2,626E-04
4,709E-05	3,629E-04
6,299E-05	4,020E-04
7,353E-05	3,833E-04
7,850E-05	3,297E-04
7,930E-05	2,642E-04
7,841E-05	2,022E-04
7,942E-05	1,518E-04
8,364E-05	1,158E-04
8,645E-05	9,026E-05
8,375E-05	7,075E-05
7,775E-05	5,506E-05
7,244E-05	4,462E-05
6,893E-05	3,777E-05
6,635E-05	3,314E-05
6,383E-05	2,967E-05
6,142E-05	2,699E-05
6,030E-05	2,532E-05
6,315E-05	2,561E-05
7,380E-05	2,917E-05
9,551E-05	3,700E-05
1,281E-04	4,941E-05
1,662E-04	6,403E-05
2,001E-04	7,709E-05
2,200E-04	8,475E-05
2,206E-04	8,485E-05
2,025E-04	7,766E-05
1,718E-04	6,548E-05
1,360E-04	5,132E-05
1,018E-04	3,783E-05
7,329E-05	2,662E-05
5,182E-05	1,821E-05
3,686E-05	1,238E-05
2,702E-05	8,584E-06
2,079E-05	6,207E-06
1,687E-05	4,738E-06
1,436E-05	3,815E-06
1,264E-05	3,206E-06
1,138E-05	2,774E-06
1,037E-05	2,444E-06
9,523E-06	2,174E-06
8,773E-06	1,945E-06
8,095E-06	1,745E-06
7,477E-06	1,567E-06
6,909E-06	1,409E-06
6,386E-06	1,268E-06
5,903E-06	1,137E-06
5,457E-06	1,016E-06
5,046E-06	9,082E-07
4,667E-06	8,123E-07
4,316E-06	7,268E-07
3,993E-06	6,506E-07
3,694E-06	5,826E-07
3,418E-06	5,220E-07
3,163E-06	4,679E-07
2,928E-06	4,196E-07
2,711E-06	3,764E-07
2,510E-06	3,379E-07
2,325E-06	3,029E-07
2,154E-06	2,709E-07
1,996E-06	2,425E-07
1,850E-06	2,172E-07
1,715E-06	1,947E-07
1,591E-06	1,746E-07
1,475E-06	1,566E-07
1,369E-06	1,406E-07
1,270E-06	1,263E-07
1,179E-06	1,135E-07
1,095E-06	1,021E-07
1,017E-06	9,188E-08
9,448E-07	8,273E-08
8,780E-07	7,453E-08
8,161E-07	6,718E-08
7,588E-07	6,059E-08
7,058E-07	5,467E-08
6,566E-07	4,914E-08
6,110E-07	4,398E-08
5,687E-07	3,938E-08
5,296E-07	3,528E-08
4,932E-07	3,163E-08
4,595E-07	2,837E-08
4,282E-07	2,547E-08
3,991E-07	2,287E-08
3,722E-07	2,055E-08
3,471E-07	1,848E-08
3,238E-07	1,662E-08
3,022E-07	1,496E-08
2,821E-07	1,347E-08
2,634E-07	1,214E-08
2,460E-07	1,094E-08
2,298E-07	9,872E-09
2,147E-07	8,910E-09
2,007E-07	8,045E-09
1,877E-07	7,269E-09
1,755E-07	6,571E-09

