1	0,5	0,00	0,01	0,00	0,00
2	1,0	0,32	0,87	0,00	0,00
3	1,5	5,78	4,76	0,00	0,00
4	2,0	19,97	10,71	0,00	0,00
5	2,5	32,83	16,00	0,00	0,02
6	3,0	36,43	19,15	0,00	0,21
7	3,5	32,20	20,09	0,00	0,94
8	4,0	24,73	19,40	0,00	2,59
9	4,5	17,37	17,73	0,03	5,16
10	5,0	11,50	15,61	0,14	8,15
11	5,5	7,33	13,38	0,70	10,81
12	6,0	4,55	11,27	3,32	12,55
13	6,5	2,78	9,37	10,09	13,14
14	7,0	1,68	7,71	17,95	12,67
15	7,5	1,01	6,31	20,11	11,48
16	8,0	0,61	5,14	16,11	9,92
17	8,5	0,36	4,18	10,89	8,34
18	9,0	0,22	3,39	7,44	7,02
19	9,5	0,13	2,75	5,62	6,13
20	10,0	0,08	2,23	4,50	5,74
21	10,5	0,05	1,81	3,63	5,80
22	11,0	0,03	1,47	2,95	6,20
23	11,5	0,02	1,19	2,65	6,73
24	12,0	0,01	0,97	2,99	7,23
25	12,5	0,01	0,79	4,20	7,53
26	13,0	0,00	0,65	6,27	7,56
27	13,5	0,00	0,53	8,77	7,29
28	14,0	0,00	0,43	10,97	6,77
29	14,5	0,00	0,36	12,18	6,05
30	15,0	0,00	0,29	12,06	5,22
31	15,5	0,00	0,24	10,74	4,37
32	16,0	0,00	0,20	8,67	3,56
33	16,5	0,00	0,17	6,41	2,82
34	17,0	0,00	0,14	4,37	2,18
35	17,5	0,00	0,11	2,76	1,65
36	18,0	0,00	0,09	1,64	1,22
37	18,5	0,00	0,08	0,91	0,89
38	19,0	0,00	0,07	0,48	0,64
39	19,5	0,00	0,06	0,24	0,45
40	20,0	0,00	0,05	0,11	0,31
41	20,5	0,00	0,04	0,05	0,22
42	21,0	0,00	0,03	0,02	0,15
43	21,5	0,00	0,03	0,01	0,10
44	22,0	0,00	0,02	0,00	0,07
45	22,5	0,00	0,02	0,00	0,04
46	23,0	0,00	0,02	0,00	0,03
47	23,5	0,00	0,01	0,00	0,02
48	24,0	0,00	0,01	0,00	0,01
49	24,5	0,00	0,01	0,00	0,01
50	25,0	0,00	0,01	0,00	0,01
51	25,5	0,00	0,01	0,00	0,00
52	26,0	0,00	0,01	0,00	0,00
53	26,5	0,00	0,01	0,00	0,00
54	27,0	0,00	0,00	0,00	0,00
55	27,5	0,00	0,00	0,00	0,00
56	28,0	0,00	0,00	0,00	0,00
57	28,5	0,00	0,00	0,00	0,00
58	29,0	0,00	0,00	0,00	0,00
59	29,5	0,00	0,00	0,00	0,00
60	30,0	0,00	0,00	0,00	0,00
61	30,5	0,00	0,00	0,00	0,00
62	31,0	0,00	0,00	0,00	0,00
63	31,5	0,00	0,00	0,00	0,00
64	32,0	0,00	0,00	0,00	0,00
65	32,5	0,00	0,00	0,00	0,00
66	33,0	0,00	0,00	0,00	0,00
67	33,5	0,00	0,00	0,00	0,00
68	34,0	0,00	0,00	0,00	0,00
69	34,5	0,00	0,00	0,00	0,00
70	35,0	0,00	0,00	0,00	0,00
71	35,5	0,00	0,00	0,00	0,00
72	36,0	0,00	0,00	0,00	0,00
73	36,5	0,00	0,00	0,00	0,00
74	37,0	0,00	0,00	0,00	0,00
75	37,5	0,00	0,00	0,00	0,00
76	38,0	0,00	0,00	0,00	0,00
77	38,5	0,00	0,00	0,00	0,00
78	39,0	0,00	0,00	0,00	0,00
79	39,5	0,00	0,00	0,00	0,00
80	40,0	0,00	0,00	0,00	0,00
81	40,5	0,00	0,00	0,00	0,00
82	41,0	0,00	0,00	0,00	0,00
83	41,5	0,00	0,00	0,00	0,00
84	42,0	0,00	0,00	0,00	0,00
85	42,5	0,00	0,00	0,00	0,00
86	43,0	0,00	0,00	0,00	0,00
87	43,5	0,00	0,00	0,00	0,00
88	44,0	0,00	0,00	0,00	0,00
89	44,5	0,00	0,00	0,00	0,00
90	45,0	0,00	0,00	0,00	0,00
91	45,5	0,00	0,00	0,00	0,00
92	46,0	0,00	0,00	0,00	0,00
93	46,5	0,00	0,00	0,00	0,00
94	47,0	0,00	0,00	0,00	0,00
95	47,5	0,00	0,00	0,00	0,00
96	48,0	0,00	0,00	0,00	0,00
97	48,5	0,00	0,00	0,00	0,00
98	49,0	0,00	0,00	0,00	0,00
99	49,5	0,00	0,00	0,00	0,00
100	50,0	0,00	0,00	0,00	0,00
