7,47272E+11	43383475505	1,21428E+12	5,03669E+12	1,71774E+13	1,02751E+14	8,73901E+13	5,8653E+14
48826306825	2815953971	78568858533	2,52171E+11	1,11145E+12	5,1444E+12	5,6545E+12	2,93657E+13
9938687044	627974363,2	15837621892	43750324848	2,24041E+11	8,92526E+11	1,13981E+12	5,09479E+12
3221431316	231084064,9	5083723959	12625423067	71915090285	2,57564E+11	3,65869E+11	1,47025E+12
1347331552	111543180,2	2105655938	5192738441	29786911744	98227723442	1,51541E+11	5,60712E+11
662096094,1	63778075,26	1024758401	2483030524	14496379730	44685960356	73750498063	2,5508E+11
363652028,2	40917290,89	557418872,5	1204967626	7885327540	22959422746	40116694255	1,31059E+11
216678089,4	28520150,37	328937568,6	657726871,1	4653198154	12895427785	23673198953	73610819590
137389043,9	21155490,7	206567034,2	410677352,4	2922126976	7752769228	14866354488	44255041899
91493870,8	16467333,75	136244483,4	275946672,3	1927334057	4917954400	9805334112	28073101575
63396507,03	13317796,76	93501336,82	195230165	1322683358	3258127666	6729166749	18598332047
45390756,74	11109240,81	66306026,77	144264388,4	937974591,1	2237286050	4771956485	12771073787
33405387,36	9505927,77	48332881,2	109947578,9	683723888,9	1583248975	3478453123	9037641606
25167434,53	8308551,114	36067262,91	82355422,85	510212688,4	1149506373	2595712901	6561713784
19347671,37	7393221,809	27463662,49	62715178,6	388504919,5	853238136,3	1976523232	4870529273
15137435,63	6679870,871	21283595,43	48632250,68	301080802	645633672,3	1531752032	3685463140
12027702,31	6114993,804	16751190,87	38399297,86	236964755,2	545414510,5	1205560909	2836292762
9688394,497	5661789,632	13365725,31	30845641,34	189073472,6	433949715,1	961913459,2	2215711312
7899806,257	5294299,986	10795486,11	25177197,09	152714499,1	350829959,6	776936764,8	1754182770
6512268,778	4993804,101	8815570,921	20853914,17	124706334,1	287885486,9	634444904,5	1405532253
5421693,059	4746533,376	7270306,369	17505082	102846799,5	239492652,2	523234271,7	1330886334
4554331,354	4542183,09	6049915,896	14873021,88	85582980,39	201745100,2	435404393,8	1063311913
3857048,422	4372919,745	5075676,966	12772868,63	71801256,36	171897081,2	365289714,9	861612106,7
3290972,468	4232704,554	4290268,985	11036326,11	60690762,1	147993269	308764947,9	707443704,3
2827268,38	4116823,346	3651370,414	9588554,541	51652811,03	128811823,2	262784268,3	590790564
2444272,34	4021554,083	3127333,536	8377763,997	44239709,99	112736283,8	225070031,7	504467766,6
2125516,848	3943927,884	2694213,811	7361061,605	38112736,06	97377610,83	193898981,7	433949715,1
1858348,574	3881554,733	2333698,262	6503393,104	33012831,25	84421847,56	167953157,5	375953527,6
1632947,405	3832494,607	2031640,374	5776311,475	28739876,93	73493966,23	146214453,4	327927531,9
1441621,156	3795161,012	1777010,404	5156801,694	25137844,74	64263693,49	127889073,3	287885486,9
1278292,318	3768247,94	1561134,192	4626251,178	22084028,81	56448436,44	112352749,8	254276158,7
1138120,374	3750673,956	1377134,988	4169587,441	19481149,6	49810622,11	99110571,92	225882597,4
1017220,941	3741538,996	1219519,823	3774573,963	17251502,81	44152652,52	87767218,32	201745100,2
